,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
515,PROVOLA AFFUMICATA,100,55,260,1088,"21,2","21,2",0,"19,6","19,6",0,"12,16","5,36","6,34","0,4","0,29",0,"0,69",90,0,0,0,0,0,"0,8",290,299,36,420,"2,3","0,03","0,31","0,1",0,"0,09",19,142,139,20,"0,33","0,16",,,,
516,PROVOLONCINO DOLCE,100,41,348,1456,25,25,0,"26,6","26,6",0,"15,73","6,04","6,79","0,49","0,27",0,"0,75",101,"2,1",0,"2,1",0,0,"0,8",850,699,108,496,"3,4","0,02","0,32","0,6",0,"0,07",10,363,335,167,"0,35","0,16",,,,
517,PROVOLONE,100,"39,6",374,1565,"26,3","26,3",0,"28,9","28,9",0,"17,09","6,56","7,38","0,53","0,29",0,"0,82",101,"2,1",0,"2,1",0,0,"0,5",881,860,136,576,"3,4","0,02","0,83","0,6",0,"0,07",10,335,293,251,"0,35","0,16",,,,
518,PROVOLONE PICCANTE,100,31,400,1674,"29,4","29,4",0,"30,4","30,4",0,"17,98","6,9","7,76","0,56","0,31",0,"0,86",101,"2,1",0,"2,1",0,0,"0,7",789,1927,79,576,"4,4","0,02","0,32","0,6",0,"0,07",10,335,293,251,"0,35","0,16",,,,
519,PRUGNE,89,"87,5",42,176,"0,5",0,"0,5","0,1",0,"0,1","0,01","0,06","0,06","0,02",0,0,"0,02",0,"10,5",0,"10,5","1,4",0,"0,2",13,2,190,14,0,"0,08","0,05","0,5",5,"0,04",2,16,0,96,"0,47",0,,,,
520,PRUGNE REGINA CLAUDIA,95,82,41,172,"0,8",0,"0,8","0,1",0,"0,1","0,01","0,06","0,07","0,02",0,0,"0,02",0,"9,7",0,"9,7","2,3",0,"0,4",17,1,310,23,"0,1","0,05","0,04","0,6",5,"0,05",3,16,0,95,"0,7",0,,,,
521,PRUGNE SECCHE,88,"29,3",220,920,"2,2",0,"2,2","0,5",0,"0,5","0,04","0,33","0,33","0,11",0,0,"0,11",0,55,0,55,9,0,"3,9",59,8,824,85,"0,4","0,18","0,02",1,3,"0,21",3,19,0,114,"1,79",0,,,,
522,QUAGLIA,67,"65,9",161,674,25,25,0,"6,8","6,8",0,"1,91","1,99","2,36","1,3","0,24","0,15","1,68",100,0,0,0,0,0,"1,5",12,40,175,200,"2,7","0,08","0,15","7,5",0,"0,6",8,73,73,0,"0,05","0,5",,,,
523,RADICCHIO ROSSO,72,94,13,54,"1,4",0,"1,4","0,1",0,"0,1","0,02",0,0,"0,04","0,01",0,"0,05",0,"1,6",0,"1,6",3,0,"0,3",36,7,180,30,"0,2","0,07","0,05","0,3",10,"0,07",13,0,0,0,"0,57",0,,,,
524,RADICCHIO VERDE,95,"88,1",14,59,"1,9",0,"1,9","0,5",0,"0,5","0,12","0,01","0,01","0,19","0,03",0,"0,22",0,"0,5",0,"0,5",1,0,"7,8",115,14,357,45,"0,4","0,06","0,53","0,3",46,"0,02",29,542,0,3252,"0,57",0,,,,
525,RANA,35,"81,9",64,268,"15,5","15,5",0,"0,2","0,2",0,"0,07",0,0,0,0,0,0,50,0,0,0,0,0,6,20,55,310,430,2,"0,16","0,06","1,2",0,"1,2",10,0,0,0,"0,8","0,5",,,,
526,RANA PESCATRICE,33,84,63,264,"12,8","12,8",0,1,1,0,"0,22","0,16","0,16",0,0,"0,4","0,4",50,"0,6",0,"0,6",0,0,"0,4",28,18,400,165,"0,4","0,12","0,05","0,9",1,"0,24",7,8,8,0,"0,4",0,,,,
527,RAPE,69,"93,3",18,75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,8",0,"3,8","2,6",0,"0,6",40,58,240,29,"0,1","0,02","0,07","0,9",23,"0,06",11,0,0,0,0,0,,,,
528,RAVANELLI,99,"95,6",11,46,"0,8",0,"0,8","0,1",0,"0,1","0,03","0,02","0,02","0,02","0,03",0,"0,05",0,"1,8",0,"1,8","1,3",0,"0,9",39,59,240,29,"0,1","0,03","0,02","0,4",18,"0,07",38,0,0,0,0,0,,,,
529,RAZZA,35,"82,2",68,285,"14,2","14,2",0,"0,9","0,9",0,0,0,"0,23",0,0,"0,23","0,45",70,"0,7",0,"0,7",0,0,1,31,130,222,218,"0,5","0,03","0,04","2,5",0,"0,37",5,15,15,0,"0,4",0,,,,
530,RHUM,100,"63,3",222,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,7","0,1",0,1,2,5,"0,1","0,01",0,0,0,0,0,0,0,0,0,0,,,,
531,RIBES,"97,5","80,1","24,5","102,5",1,0,1,0,0,0,0,0,0,0,0,0,0,0,"5,5",0,"5,5","7,6",0,"1,25",48,"2,5",325,"36,5","0,25","0,035","0,06","0,2",120,"0,065","13,5","10,5",0,"62,5","0,55",0,,,,
532,RICOTTA DI PECORA,100,63,271,1134,"8,4","8,4",0,"25,1","25,1",0,"17,51","4,69","5,45","0,38","0,31",0,"0,69",51,"3,2",0,"3,2",0,0,"0,6",84,256,37,196,"0,2","0,03","0,18","0,2",1,"0,08",5,12,10,9,"0,11","0,18",,,,
533,RICOTTA VACCINA,100,73,136,569,"12,2","12,2",0,8,8,0,"4,96","2,19","2,59","0,16","0,12",0,"0,28",32,4,0,4,0,0,"0,5",394,100,110,170,"1,3","0,02","0,19","0,1",0,"0,03",6,200,185,92,"0,03","0,03",,,,
534,RICOTTA DI PECORA,100,68,204,854,"10,3","10,3",0,"16,6","16,6",0,"11,24","3,44","4,02","0,27","0,22",0,"0,49",42,"3,6",0,"3,6",0,0,"0,6",239,178,74,183,"0,8","0,03","0,19","0,2",1,"0,06",6,106,98,51,"0,07","0,11",,,,
535,RICOTTA,100,78,109,456,"12,5","12,5",0,"5,1","5,1",0,"3,17","1,4","1,65","0,11","0,08",0,"0,18",32,"3,6",0,"3,6",0,0,"0,4",85,35,87,165,"0,5","0,04","0,27","0,1",1,"0,03",6,44,40,24,"0,03","0,03",,,,
536,RICOTTA MAGRA,100,81,72,301,"13,5","13,5",0,"0,2","0,2",0,"0,12","0,05","0,06",0,0,0,"0,01",32,"4,1",0,"4,1",0,0,"0,4",92,40,95,160,"0,6","0,04","0,3","0,2",1,"0,03",6,2,2,1,"0,03","0,03",,,,
537,RISO,100,"12,9",362,1515,7,0,7,"0,6",0,"0,6","0,14","0,15","0,15","0,21","0,01",0,"0,22",0,"87,6","87,4","0,2","1,4",0,"0,6",6,6,110,120,"1,3","0,06","0,03","1,3",0,"0,3",20,0,0,0,"0,06",0,,,,
538,RISO INTEGRALE,100,"13,9",357,1494,"6,7",0,"6,7","2,8",0,"2,8","0,56",1,"1,01","0,96","0,04",0,1,0,"81,3",80,"1,3","3,8",0,"1,4",10,3,250,310,"1,8","0,59","0,07","5,3",0,"0,51",49,0,0,0,"0,8",0,,,,
539,RISO SOFFIATO,100,"11,7",369,1544,"6,1",0,"6,1","0,9",0,"0,9","0,2","0,23","0,23","0,32",0,0,"0,32",0,"89,7","79,1","10,6","1,1",0,"6,7",20,1260,150,130,"1,1",1,"1,5",16,0,"1,8",250,0,0,0,"0,6",0,,,,
540,RISO PARBOILED,100,"12,4",364,1523,"6,7",0,"6,7",1,0,1,"0,27","0,31","0,31","0,22","0,05",0,"0,27",0,"79,3","79,3",0,"2,2",0,"1,2",7,2,150,130,2,"0,2","0,08","2,6",0,"0,35",11,0,0,0,"0,13",0,,,,
541,ROBIOLA,100,51,309,1293,"18,9","18,9",0,"25,9","25,9",0,"16,07","7,08","8,38","0,53","0,38",0,"0,91",90,0,0,0,0,0,"0,7",704,1110,96,374,"4,1","0,05","0,24","0,8",0,"0,08",19,293,275,105,"0,24","0,17",,,,
542,ROCHEFORT,100,"41,3",375,1569,"19,7","19,7",0,"32,9","32,9",0,"20,68","8,01","9,09","0,67","0,75",0,"1,42",90,0,0,0,0,0,"0,4",530,1670,31,400,"1,6","0,04","0,65","0,5",0,"0,09",45,297,295,10,"0,55","0,18",,,,
543,ROMBO,55,"79,5",81,339,"16,3","16,3",0,"1,3","1,3",0,"0,17","0,12","0,25",0,"0,17","0,56","0,73",70,"1,2",0,"1,2",0,0,"1,2",38,83,319,264,"0,2","0,05","0,11","3,7",0,"0,21",8,0,0,0,"0,4",0,,,,
544,ROSMARINO,100,"73,6",96,402,"1,4",0,"1,4","4,4",0,"4,4","1,14","0,22","0,29","0,45","1,79",0,"2,25",0,"13,5",0,"13,5","7,7",0,"8,5",370,15,280,20,"0,9","0,1","0,21",1,29,"0,09",0,92,0,550,"1,5",0,,,,
545,RUCOLA,40,"91,7",25,105,"2,6",0,"2,6","0,7",0,"0,7","0,09","0,05","0,05","0,13","0,17",0,"0,32",0,"2,1",0,"2,1","1,6",0,"1,5",160,27,369,52,"0,4","0,04","0,09","0,3",15,"0,07",97,237,0,1422,"0,43",0,,,,
546,SALAME CACCIATORE,100,"30,6",424,1774,"28,5","28,5",0,34,34,0,"10,8","14,91","16,33","4,17","0,21","0,52","4,9",99,"1,2",0,"1,2",0,0,"1,8",59,2064,600,356,5,"0,28","0,16","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
547,SALAME DA CUOCERE,100,48,326,1364,36,36,0,"19,6","19,6",0,"6,23","7,78","8,34","2,75","0,49","0,26","3,51",60,"1,5",0,"1,5",0,0,"1,6",50,2339,707,356,"5,4","0,17","0,15","5,9",0,"0,36",3,0,0,0,"0,23",0,,,,
548,SALAME DI SUINO,97,28,475,1987,"22,5","22,5",0,"42,8","42,8",0,"13,6",17,"18,22","5,88","1,07","0,72","7,67",90,0,0,0,0,0,"2,4",21,1850,160,246,"1,7","0,32","0,2",5,0,"0,15",3,0,0,0,"0,28",0,,,,
549,SALAME,97,28,475,1987,"22,5","22,5",0,"42,8","42,8",0,"13,6",17,"18,22","5,88","1,07","0,72","7,67",90,0,0,0,0,0,"2,4",21,1850,160,246,"1,7","0,32","0,2",5,0,"0,15",3,0,0,0,"0,28",0,,,,
550,SALAME DI SUINO E BOVINO,97,27,454,1900,"27,4","27,4",0,"38,3","38,3",0,"14,5","16,28","18,15","2,7","0,56",0,"3,25",55,0,0,0,0,0,"2,4",21,1019,180,246,"1,9","0,32","0,2","2,6",0,"0,18",5,0,0,0,"0,22",0,,,,
551,SALAME FABRIANO,100,32,421,1761,"26,5","26,5",0,"34,3","34,3",0,"12,19","14,53","15,84","3,91","0,23","0,33","4,47",88,"1,5",0,"1,5",0,0,"1,5",65,2391,646,356,"5,4","0,15","0,1","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
552,SALAME FELINO,100,"35,2",375,1569,"30,5","30,5",0,"27,9","27,9",0,"9,51","11,26","11,88","3,49","0,37","0,47","4,34",95,"0,5",0,"0,5",0,0,"2,1",20,2502,716,356,"6,4","0,34","0,26","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
553,SALAME MILANO,100,"35,5",390,1632,"26,7","26,7",0,"30,9","30,9",0,"9,82","12,27","13,15","4,24","0,77","0,52","5,53",90,"1,5",0,"1,5",0,0,"1,6",50,2339,707,356,"5,4","0,24","0,21","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
554,SALAME NAPOLI,100,39,358,1498,"26,7","26,7",0,"27,3","27,3",0,"8,04","10,69","12,02","4,1","0,2","0,59","4,89",86,"1,7",0,"1,7",0,0,"1,6",51,2688,784,356,6,"0,16","0,14","2,5",0,"0,36",3,0,0,0,"0,23",0,,,,
555,SALAME NOSTRANO,100,"37,3",370,1548,"27,3","27,3",0,"28,5","28,5",0,"9,33","11,73","12,93","3,75","0,21","0,07","4,04",94,"1,1",0,"1,1",0,0,"1,9",65,2529,759,356,"6,3","0,18","0,26","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
556,SALAME UNGHERESE,100,36,406,1699,"24,2","24,2",0,34,34,0,"9,74","13,99","15,36","4,79","0,27","0,39","5,45",94,"0,7",0,"0,7",0,0,"1,6",68,2266,633,356,5,"0,17","0,25","2,5",0,"0,15",3,0,0,0,"0,28",0,,,,
557,SALATINI,100,2,514,2151,"7,2",0,"7,2","24,3","11,4","12,9","7,06","13,11","13,67","2,74","0,26","0,21","3,22",0,"71,1","63,9","7,2","3,3",0,"2,2",38,1180,260,220,"1,3","0,5","0,1","5,3",0,"0,25",25,0,0,0,"2,68",0,,,,
558,SALE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",10,39300,89,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,,,,
559,SALE GROSSO,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",10,39300,89,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,,,,
560,SALE FINO,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",10,39300,89,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,,,,
561,SALMONE,79,"67,2",180,753,"20,2","20,2",0,11,11,0,"1,9","2,4","4,4","0,3","0,2","2,6","3,1",50,0,0,0,0,0,"0,4",21,45,360,250,"0,6","0,23","0,13","7,2",0,"0,75",16,13,13,0,"1,91",8,,,,
562,SALMONE AFFUMICATO,100,"64,9",142,594,"25,4","25,4",0,"4,5","4,5",0,"0,78","0,98","1,8","0,12","0,08","1,06","1,27",35,0,0,0,0,0,"0,6",19,1880,420,250,"0,4","0,16","0,17","8,8",0,"0,28",2,13,13,0,"1,35",0,,,,
563,SALSICCIA DI FEGATO,100,"42,9",424,1774,"12,4","12,4",0,"41,2","41,2",0,12,"13,65","15,08","2,78","0,15",0,"2,93",183,"0,9",0,"0,9",0,0,"5,3",41,810,143,154,"2,7","0,24","0,92","3,6",2,"0,17",23,102,102,0,"2,15","1,09",,,,
564,SALSICCIA DI SUINO E BOVINO,100,44,394,1648,"14,2","14,2",0,"37,4","37,4",0,"14,16","15,89","17,72","2,63","0,54",0,"3,18",55,0,0,0,0,0,"3,2",18,1019,180,175,"1,9","0,2","0,08",3,0,"0,18",5,0,0,0,"0,22",0,,,,
565,SALSICCIA DI SUINO,100,"53,6",304,1272,"15,4","15,4",0,"26,7","26,7",0,"12,22","7,36","8,29","4,85","0,04",0,"4,9",62,"0,6",0,"0,6",0,0,"2,8",20,1100,200,173,"1,2","0,34","0,03",4,0,"0,07",1,0,0,0,"0,24",0,,,,
566,SALSICCIA,100,"53,6",304,1272,"15,4","15,4",0,"26,7","26,7",0,"12,22","7,36","8,29","4,85","0,04",0,"4,9",62,"0,6",0,"0,6",0,0,"2,8",20,1100,200,173,"1,2","0,34","0,03",4,0,"0,07",1,0,0,0,"0,24",0,,,,
567,SALVIA,100,"66,4",119,498,"3,9",0,"3,9","4,6",0,"4,6","2,54","0,63","0,68","0,19","0,44",0,"0,64",0,"15,6",0,"15,6","14,7",0,"10,3",600,4,390,33,"1,7","0,11","0,34","5,7",0,"1,21",0,215,0,1290,"1,69",0,,,,
568,SARAGO,54,76,103,431,15,15,0,"4,4","4,4",0,"0,57","0,41","0,85",0,"0,22","2,26","2,48",70,1,0,1,0,0,"1,2",38,77,350,264,"0,5","0,08","0,1","2,8",0,"0,19",5,48,48,0,"0,4",0,,,,
569,SARDA,70,73,129,540,"20,8","20,8",0,"4,5","4,5",0,"1,02","0,69","1,2","0,06",0,"1,71","1,77",84,"1,5",0,"1,5",0,0,"1,8",33,66,630,215,"0,8","0,02","0,25","9,7",0,"0,33",3,28,28,0,"0,12","4,5",,,,
570,SARDINE,48,62,133,556,"25,1","25,1",0,"3,6","3,6",0,"0,82","0,55","0,96","0,05",0,"1,37","1,42",60,0,0,0,0,0,"0,8",540,530,320,510,"0,9","0,01","0,26","4,4",0,"0,16",8,12,12,0,"0,29","4,6",,,,
571,SARDINE SOTT'OLIO,73,57,198,828,"22,3","22,3",0,"12,1","9,8","2,3","2,4","3,43","4,98","2,23","0,34","1,8","4,38",140,0,0,0,0,0,"2,8",613,480,410,368,"2,2","0,12","0,34","7,4",0,"0,18",8,6,6,0,"0,27","4,3",,,,
572,SCALOGNO,72,"92,8",20,84,"1,5",0,"1,5","0,2",0,"0,2","0,03","0,03","0,03","0,07",0,0,"0,08",0,"3,3",0,"3,3","1,5",0,"0,8",24,10,180,50,"0,4","0,04","0,06","0,6",13,"0,2",17,445,0,2669,"0,31",0,,,,
573,SCAMORZA,100,"58,7",209,874,"22,7","22,7",0,"10,1","10,1",0,"6,28","2,45","2,85","0,21","0,09",0,"0,3",65,"7,2",0,"7,2",0,0,"0,2",392,137,38,229,"4,3","0,05","0,51","0,4",0,"0,09",19,268,240,170,"0,33","0,16",,,,
574,SCAMORZA AFFUMICATA,100,"58,7",209,874,"22,7","22,7",0,"10,1","10,1",0,"6,28","2,45","2,85","0,21","0,09",0,"0,3",65,"7,2",0,"7,2",0,0,"0,2",392,137,38,229,"4,3","0,05","0,51","0,4",0,"0,09",19,268,240,170,"0,33","0,16",,,,
575,SCAROLA,60,93,15,63,"1,6",0,"1,6","0,2",0,"0,2","0,05",0,0,"0,07","0,01",0,"0,09",0,"1,7",0,"1,7","1,5",0,"0,3",30,9,240,23,"0,2","0,06","0,07","0,4",15,"0,02",156,167,0,1000,"0,57",0,,,,
576,SCIROPPO DI MALTO,100,"21,1",318,1331,"6,2",0,"6,2",0,0,0,0,0,0,0,0,0,0,0,"71,3",0,0,0,0,1,61,35,320,236,"0,1","0,01","0,39","8,1",0,"0,5",12,0,0,0,0,0,,,,
577,SCIROPPO PER BIBITE,100,20,297,1243,"0,3",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,79,0,79,0,0,"1,5",26,270,240,20,"0,1",0,0,0,0,0,0,0,0,0,0,0,,,,
578,SCORZONERA,59,"83,3",27,113,"1,3",0,"1,3","0,3",0,"0,3","0,07","0,01","0,01","0,11","0,02",0,"0,13",0,"10,2","3,5","1,5","3,2",0,"0,9",42,5,310,42,"0,2","0,06","0,01","0,2",3,"0,07",57,3,0,20,"0,19",0,,,,
579,SEDANO,80,"88,3",20,84,"2,3",0,"2,3","0,2",0,"0,2","0,05","0,04","0,04","0,1",0,0,"0,1",0,"2,4","0,2","2,2","1,6",0,"0,5",31,140,280,45,"0,1","0,06","0,19","0,2",32,"0,07",38,207,0,1242,"0,48",0,,,,
580,SEDANO RAPA,72,88,23,96,"1,9",0,"1,9","0,1",0,"0,1","0,03","0,02","0,02","0,05",0,0,"0,05",0,"3,8",0,"3,8","5,1",0,"0,5",52,91,460,90,"0,3","0,07","0,11","0,5",6,"0,08",51,0,0,0,"0,52",0,,,,
581,SEGO,100,2,872,3648,"0,8","0,8",0,"96,5","96,5",0,"48,06","34,74","40,34","2,99","0,58","0,29","3,86",109,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,224,224,0,"2,7",0,,,,
582,SEMOLA,100,14,341,1427,"11,5",0,"11,5","0,5",0,"0,5","0,12","0,06","0,06","0,29","0,02",0,"0,31",0,"77,6","75,7","1,9","3,6",0,"1,3",17,12,170,165,"0,6","0,19","0,15",2,0,"0,15",22,0,0,0,0,0,,,,
583,SEPPIA,50,"81,5",72,301,14,14,0,"1,5","1,5",0,"0,43",0,"0,21",0,0,"0,43","0,43",110,"0,7",0,"0,7",0,0,"0,8",27,97,273,143,"1,2","0,11","0,04","0,9",0,"0,39",13,25,25,0,"1,2",0,,,,
584,SGOMBRO FILETTI SOTT'OLIO,88,59,201,841,"25,3","25,3",0,"10,7","8,1","2,6","2,31","3,28","4,96","0,32","0,14","1,56","2,02",94,1,0,1,0,0,"0,9",32,224,92,280,"0,5","0,15","0,22",6,0,"0,12",1,125,125,0,"0,59","2,9",,,,
585,FILETTI DI SGOMBRO SOTT'OLIO,88,59,201,841,"25,3","25,3",0,"10,7","8,1","2,6","2,31","3,28","4,96","0,32","0,14","1,56","2,02",94,1,0,1,0,0,"0,9",32,224,92,280,"0,5","0,15","0,22",6,0,"0,12",1,125,125,0,"0,59","2,9",,,,
586,SGOMBRO O MACCARELLO,80,"69,8",168,703,17,17,0,"11,1","11,1",0,"2,6","1,84","4,13","0,16","0,15","2,15","2,46",95,0,0,0,0,0,"1,2",38,130,360,264,"0,5","0,1","0,25","7,6",0,"0,34",1,45,45,0,"0,25","2,9",,,,
587,MACCARELLO,80,"69,8",168,703,17,17,0,"11,1","11,1",0,"2,6","1,84","4,13","0,16","0,15","2,15","2,46",95,0,0,0,0,0,"1,2",38,130,360,264,"0,5","0,1","0,25","7,6",0,"0,34",1,45,45,0,"0,25","2,9",,,,
588,SHOYU,100,"71,1",53,222,"5,2",0,"5,2","0,1",0,"0,1","0,01","0,01","0,01","0,03",0,0,"0,04",0,"7,7","6,9","0,8","0,8",0,2,17,5715,180,110,"0,4","0,05","0,13","3,4",0,"0,17",16,0,0,0,0,0,,,,
589,SALSA DI SOIA,100,"71,1",53,222,"5,2",0,"5,2","0,1",0,"0,1","0,01","0,01","0,01","0,03",0,0,"0,04",0,"7,7","6,9","0,8","0,8",0,2,17,5715,180,110,"0,4","0,05","0,13","3,4",0,"0,17",16,0,0,0,0,0,,,,
590,SODA DOLCE,100,"93,8",22,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,8",0,"5,8",0,0,0,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
591,SOFFICINI  SURGELATI,100,"56,4",278,1163,"7,2","3,4","3,8","15,8","7,7","8,1","3,14","3,78","3,78","7,16","0,39",0,"7,55",31,"28,6","27,8","0,8","1,4",0,"0,3",112,460,150,210,"1,3","0,23","0,12","0,2",1,"0,06",8,118,110,50,"0,6","0,46",,,,
592,SOGLIOLA,48,"79,5",86,360,"16,9","16,9",0,"1,7","1,7",0,"0,22","0,16","0,33",0,"0,09","0,87","0,96",57,"0,8",0,"0,8",0,0,"0,8",12,120,280,195,"0,4","0,05","0,05","1,7",0,"0,19",5,0,0,0,"0,4",0,,,,
593,SEMI DI SOIA,100,"8,5",398,1665,"36,9",0,"36,9","18,1",0,"18,1","2,54","4,03","4,12","9,3","1,38",0,"10,67",0,"23,3","12,3",11,"11,9",0,"6,9",257,4,1740,591,"4,3","0,99","0,52","2,5",0,"0,38",370,2,0,12,"2,9",0,,,,
594,SOIA GERMOGLI,98,"86,3",49,205,"6,2",0,"6,2","1,4",0,"1,4","0,2","0,31","0,32","0,72","0,11",0,"0,83",0,3,0,3,"1,1",0,1,48,30,218,67,"1,2","0,23","0,2","0,8",13,"0,18",172,24,0,144,"0,2",0,,,,
595,GERMOGLI DI SOIA,98,"86,3",49,205,"6,2",0,"6,2","1,4",0,"1,4","0,2","0,31","0,32","0,72","0,11",0,"0,83",0,3,0,3,"1,1",0,1,48,30,218,67,"1,2","0,23","0,2","0,8",13,"0,18",172,24,0,144,"0,2",0,,,,
596,SOTTILETTE,100,"45,7",330,1381,"20,8","20,8",0,27,27,0,"16,14","7,1","8,61","0,36","0,38",0,"0,74",85,"0,9",0,"0,9",0,0,"0,5",600,1320,130,800,"3,2","0,03","0,28","0,1",0,"0,08",18,286,270,95,"0,55","0,21",,,,
597,SPECK,100,"44,7",301,1259,"28,3","28,3",0,"20,9","20,9",0,"5,72","8,4","9,44","3,13","0,16","0,62","3,91",90,"0,5",0,"0,5",0,0,"1,8",19,2752,855,170,"4,4","0,14","0,14","1,1",0,"0,62",1,0,0,0,"0,11","0,9",,,,
598,SPIGOLA,54,79,82,343,"16,5","16,5",0,"1,5","1,5",0,"0,24","0,24","0,36",0,0,"0,3","0,3",64,"0,6",0,"0,6",0,0,"1,1",20,69,256,202,"0,3","0,11","0,16",3,0,"0,3",9,15,15,0,"0,5",0,,,,
599,SPINACI,83,"90,1",31,130,"3,4",0,"3,4","0,7",0,"0,7","0,07","0,04","0,05","0,07","0,35",0,"0,42",0,3,"2,6","0,4","1,9",0,"2,9",78,100,530,62,"0,4","0,07","0,37","0,4",54,"0,17",150,485,0,2910,"1,71",0,,,,
600,SPREMUTA DI ARANCIA,100,"89,3",33,138,"0,5",0,"0,5",0,0,0,0,0,0,0,0,0,0,0,"8,2",0,"8,2",0,0,"0,2",15,2,180,17,0,"0,05","0,03","0,4",44,"0,06",24,38,0,228,"0,15",0,,,,
601,SPREMUTA DI POMPELMO,100,90,30,126,"0,3",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,"7,9",0,"7,9",0,0,"0,4",13,9,123,13,"0,4","0,03","0,02","0,2",28,"0,03",24,1,0,6,"0,17",0,,,,
602,SPUMANTE,100,0,82,343,"0,2",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"5,1",0,"5,1",0,"8,9","0,6",14,13,110,13,0,0,"0,01","0,1",0,"0,01",0,0,0,0,0,0,,,,
603,SPUMANTE SECCO,100,0,65,272,"0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,7",0,"0,7",0,"8,8","0,5",9,4,61,6,0,0,"0,01","0,1",0,"0,02",0,0,0,0,0,0,,,,
604,STARNA,64,70,113,473,"26,4","26,4",0,"2,6","2,6",0,"0,79","0,83","0,95","0,52","0,06","0,05","0,63",86,0,0,0,0,0,"4,5",34,115,37,200,"1,9","0,08","0,31","4,6",0,"0,35",28,0,0,0,0,"0,4",,,,
605,STOCCAFISSO,"81,5","44,05",225,"941,5","50,4","50,4",0,"2,2","2,2",0,"0,405","0,225","0,32","0,015","0,005","0,77","0,79",66,"0,7",0,"0,7",0,0,"1,95","34,5",318,"953,5","306,5",1,"0,075","0,29","2,25",0,"0,52","18,5",0,0,0,"0,52",0,,,,
606,STRACCHINO,100,"53,5",300,1255,"18,5","18,5",0,"25,1","25,1",0,"15,58","6,87","8,12","0,52","0,37",0,"0,89",90,0,0,0,0,0,"0,3",567,414,62,374,"1,7","0,05","0,36","0,1",0,"0,08",19,293,275,105,"0,24","0,17",,,,
607,STRUTTO,100,"0,5",892,3732,"0,3","0,3",0,99,99,0,"42,47","39,06","43,11","8,95","0,92","1,83","11,7",95,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,,,,
608,SUCCO DI ALBICOCCA,100,86,47,197,"0,3",0,"0,3","0,1",0,"0,1","0,01","0,04","0,04","0,02",0,0,"0,02",0,12,0,12,"0,2",0,"0,4",9,3,70,13,"0,1","0,01","0,01","0,3",60,"0,02",1,132,0,792,"0,08",0,,,,
609,SUCCO DI ANANAS,100,"85,5",56,234,"0,3",0,"0,3","0,1",0,"0,1","0,01","0,01","0,01","0,02","0,01",0,"0,03",0,"13,6",0,"13,6","0,2",0,"0,3",17,1,134,8,"0,1","0,06","0,02","0,3",11,"0,1",23,0,0,0,"0,02",0,,,,
610,SUCCO DI ARANCIA E POMPELMO,100,"88,6",43,180,"0,6",0,"0,6","0,1",0,"0,1","0,01","0,02","0,02","0,01","0,01",0,"0,02",0,"10,2",0,"10,2","0,1",0,"0,5",8,3,158,14,"0,1","0,06","0,03","0,3",29,"0,02",14,12,0,72,"0,07",0,,,,
611,SUCCO DI ARANCIA,100,"41,6",185,774,"2,9",0,"2,9","0,5",0,"0,5","0,06","0,08","0,1","0,08","0,03",0,"0,1",0,"44,9",0,"44,9",0,0,"0,4",36,10,880,83,"0,2","0,31","0,13","1,3",210,"0,25",90,28,0,170,"0,68",0,,,,
