,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
368,MONTASIO,100,32,411,1720,"30,3","30,3",0,"32,2","32,2",0,"19,98","8,81","10,42","0,66","0,47",0,"1,14",100,0,0,0,0,0,"0,3",950,757,99,610,"2,3","0,03","0,39",0,0,"0,11",12,363,325,225,"0,58","0,25",,,,
369,MORA,100,"83,5",31,130,"1,3",0,"1,3",0,0,0,0,0,0,0,0,0,0,0,"6,9",0,"6,9","4,5",0,"1,25","49,5",3,235,36,"0,2","0,04","0,04","0,4",15,"0,06",37,"8,5",0,50,"1,695",0,,,,
370,MORTADELLA,100,"48,25","352,5","1474,5",14,14,0,"32,55","32,55",0,"10,68","13,525","14,77","4,005","0,195","0,345","4,55",70,1,0,1,0,0,"1,65","29,5",1054,236,180,"1,6","0,145","0,205","3,35",0,"0,08",4,0,0,0,"0,09",0,,,,
371,MOZZARELLA,100,"60,1",243,1017,"19,9","19,9",0,"16,1","16,1",0,"10,01","3,91","4,55","0,33","0,14",0,"0,47",50,"4,9",0,"4,9",0,0,"0,2",403,137,38,239,"4,3","0,05","0,51","0,4",0,"0,07",15,163,146,104,"0,2","0,1",,,,
372,MOZZARELLA DI BUFALA,100,"62,7",240,1004,"15,7","15,7",0,"18,3","18,3",0,"11,47","3,98","4,65","0,42","0,16",0,"0,59",56,"3,3",0,"3,3",0,0,"0,2",403,137,38,239,"4,3","0,05","0,51","0,4",0,"0,09",19,268,240,170,"0,33","0,16",,,,
373,MUESLI,100,7,364,1523,"10,6",0,"10,6","5,9",0,"5,9","1,04","2,13","2,14","2,26","0,13",0,"2,38",0,"71,1","23,7","47,4","8,1",0,"5,6",120,380,440,280,"2,5","0,5","0,7","6,5",0,"1,6",140,0,0,0,"3,2",0,,,,
374,NATTO,100,55,212,887,"17,7",0,"17,7",11,0,11,"1,59","2,4","2,43","5,48","0,73",0,"6,21",0,9,0,0,"5,4",0,"8,6",217,7,729,174,3,"0,16","0,19",0,13,"0,13",8,0,0,0,"0,01",0,,,,
375,NESPOLE,66,"85,3",28,117,"0,4",0,"0,4","0,4",0,"0,4","0,08","0,02","0,02","0,15","0,03",0,"0,18",0,"6,1",0,"6,1","2,1",0,"0,3",16,6,250,11,"0,1","0,04","0,05","0,4",11,"0,1",14,27,0,162,"0,89",0,,,,
376,NOCCIOLE,42,"5,7",625,2615,13,0,13,"62,9",0,"62,9","4,08","37,74","37,9","4,99","0,11",0,"5,1",0,"1,8",0,"1,8","6,7",0,"3,3",150,11,466,322,"1,6","0,51","0,1","2,8",4,"0,59",72,30,0,180,"24,98",0,,,,
377,NOCE DI COCCO,70,45,351,1469,"3,2",0,"3,2",36,0,36,"30,93","2,24","2,38","0,61",0,0,"0,61",0,"3,7",0,"3,7","12,2",0,"2,1",13,17,370,94,"0,5","0,04","0,01","0,5",3,"0,05",26,0,0,0,"0,73",0,,,,
