Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
m49,Europe,rural,Drinking water,2008,0.63457,1277375.6062,Limited service
m49,Europe,urban,Drinking water,2008,0.45108,2400287.81324,Limited service
m49,Europe,total,Drinking water,2008,91.58075,671668338.2809,Safely managed service
m49,Europe,rural,Drinking water,2008,82.35592,165781733.13888,Safely managed service
m49,Europe,urban,Drinking water,2008,95.07049,505886600.58751,Safely managed service
m49,Europe,total,Drinking water,2008,0.03526,258584.03618,Surface water
m49,Europe,rural,Drinking water,2008,0.02371,47727.58228,Surface water
m49,Europe,urban,Drinking water,2008,0.03963,210856.45129,Surface water
m49,Europe,total,Drinking water,2008,1.0231,7503554.57418,Unimproved
m49,Europe,rural,Drinking water,2008,2.95482,5948036.36517,Unimproved
m49,Europe,urban,Drinking water,2008,0.29233,1555523.21088,Unimproved
m49,Europe,total,Sanitation,2009,22.06046,162127481.08344,Basic service
m49,Europe,rural,Sanitation,2009,43.00856,86127850.75084,Basic service
m49,Europe,urban,Sanitation,2009,21.31229,113949579.62319,Basic service
m49,Europe,total,Sanitation,2009,0.94843,6970213.44927,Limited service
m49,Europe,rural,Sanitation,2009,1.01359,2029797.88879,Limited service
m49,Europe,urban,Sanitation,2009,0.92402,4940415.51439,Limited service
m49,Europe,total,Sanitation,2009,0.00713,52377.26648,Open defecation
m49,Europe,rural,Sanitation,2009,0.02259,45228.43748,Open defecation
m49,Europe,urban,Sanitation,2009,0.00134,7148.829,Open defecation
m49,Europe,total,Sanitation,2009,73.07897,537074451.82654,Safely managed service
m49,Europe,rural,Sanitation,2009,45.59304,91303452.82698,Safely managed service
m49,Europe,urban,Sanitation,2009,76.27586,407821044.89469,Safely managed service
m49,Europe,total,Sanitation,2009,3.90502,28698871.67354,Unimproved
m49,Europe,rural,Sanitation,2009,10.36222,20751121.94701,Unimproved
m49,Europe,urban,Sanitation,2009,1.48649,7947750.11133,Unimproved
m49,Europe,total,Drinking water,2009,6.56421,48241937.59229,Basic service
m49,Europe,rural,Drinking water,2009,13.191,26415952.4964,Basic service
m49,Europe,urban,Drinking water,2009,4.08217,21825984.85721,Basic service
m49,Europe,total,Drinking water,2009,0.52811,3881174.08445,Limited service
m49,Europe,rural,Drinking water,2009,0.62416,1249933.91468,Limited service
m49,Europe,urban,Drinking water,2009,0.49213,2631240.14413,Limited service
m49,Europe,total,Drinking water,2009,91.88357,675273831.27455,Safely managed service
m49,Europe,rural,Drinking water,2009,83.29503,166804501.77962,Safely managed service
m49,Europe,urban,Drinking water,2009,95.10038,508469324.81536,Safely managed service
m49,Europe,total,Drinking water,2009,0.03533,259637.94012,Surface water
m49,Europe,rural,Drinking water,2009,0.02424,48540.34528,Surface water
m49,Europe,urban,Drinking water,2009,0.03948,211097.59252,Surface water
m49,Europe,total,Drinking water,2009,0.98879,7266814.40859,Unimproved
